stock,country,indicator,entry_date,entry_price,exit_price,pnl_pct,max_drawdown_pct,tier,hold_days
6178.HK,HK,S01,2024-11-01,7.51999998092651,8.4399995803833,12.23403725784905,3.5904252873848312,,5
6181.HK,HK,S01,2024-07-22,82.0,82.4000015258789,0.48780673887671494,-12.195121951219512,,5
6181.HK,HK,S01,2024-07-25,76.5,88.5999984741211,15.816991469439337,-0.6535947712418301,,5
6181.HK,HK,S01,2024-07-29,80.1500015258789,87.75,9.482218751633086,-4.1796611482776544,,5
6181.HK,HK,S01,2024-08-02,81.6999969482422,90.8499984741211,11.199512689915416,-5.997544772968108,,5
6181.HK,HK,S01,2024-08-06,77.8000030517578,92.5,18.894596878695204,3.534704231528776,,5
6181.HK,HK,S01,2024-08-12,82.4000015258789,93.5,13.470871685160077,3.3373785789752968,,5
6181.HK,HK,S01,2024-08-19,88.5999984741211,103.0,16.25282367254776,-5.135435102397084,,5
6181.HK,HK,S01,2024-08-21,87.75,156.100006103516,77.89174484731167,-4.216520738737552,,5
6181.HK,HK,S01,2024-08-30,90.8499984741211,189.600006103516,108.69566239731326,-7.484860249392625,,5
6181.HK,HK,S01,2024-09-03,92.5,221.399993896484,139.35134475295567,-9.135131835937516,,5
6181.HK,HK,S01,2024-09-05,93.5,208.199996948242,122.67379352753154,-10.106948607745672,,5
6181.HK,HK,S01,2025-03-03,515.0,800.0,55.33980582524271,3.4951456310679614,,5
6181.HK,HK,S01,2025-10-30,688.5,700.5,1.7429193899782136,-6.753812636165578,,5
6181.HK,HK,S01,2026-02-05,740.5,630.0,-14.922349763673193,-20.121539500337608,,5
6185.HK,HK,S01,2024-04-23,18.3999996185303,19.2600002288818,4.673916457505855,1.19565883295748,,5
6185.HK,HK,S01,2024-05-22,21.3500003814697,18.8799991607666,-11.569092161922805,-16.44028180874523,,5
6185.HK,HK,S01,2024-05-31,20.3500003814697,18.7600002288818,-7.813268416622357,-12.334153227669498,,5
6185.HK,HK,S01,2024-10-16,23.7999992370605,27.3500003814697,14.91597167314723,13.23530095317789,,5
6185.HK,HK,S01,2025-03-18,37.0,34.2999992370605,-7.2972993592959545,-30.67567670667487,,5
6185.HK,HK,S01,2025-06-20,35.0,47.4199981689453,35.48570905412942,-3.4285736083985796,,5
6185.HK,HK,S01,2025-07-07,34.2999992370605,51.9000015258789,51.31196116704847,4.227407566157624,,5
6186.HK,HK,S01,2024-10-16,5.40000009536743,5.15000009536743,-4.629629547867431,-7.222219622184153,,5
6186.HK,HK,S01,2025-03-28,6.59000015258789,6.0,-8.952961136976558,-11.532628395818593,,5
6196.HK,HK,S01,2024-03-25,0.819999992847443,0.75,-8.536584568052078,-10.975606653535792,,5
6198.HK,HK,S01,2024-10-16,5.76000022888184,5.80000019073486,0.6944437545757588,-6.250002069605742,,5
6618.HK,HK,S01,2024-01-03,35.9500007629395,28.5499992370605,-20.584148452946877,-24.4784449447941,,5
6618.HK,HK,S01,2024-09-16,22.5,28.9500007629395,28.666670057508885,3.3333333333333335,,5
6618.HK,HK,S01,2026-01-26,64.4000015258789,48.4000015258789,-24.844719908229294,-26.86335813952716,,5
6690.HK,HK,S01,2025-03-28,24.7000007629395,23.6499996185303,-4.251016647678202,-20.72874769670281,,5
6806.HK,HK,S01,2024-10-16,2.16000008583069,2.41000008583069,11.574073614161701,7.870362551859886,,5
6808.HK,HK,S01,2024-03-14,1.29999995231628,1.51999998092651,16.923079744598763,1.5384692976468846,,5
6808.HK,HK,S01,2024-09-13,1.26999998092651,2.46000003814697,93.70079331436784,-0.7874008357035254,,5
6808.HK,HK,S01,2025-03-19,1.89999997615814,1.95000004768372,2.631582744894643,-3.1578917648652767,,5
